PREFERRED_NAME,MoleculeID,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogKoc_pred,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,MolWeight,LogBCF_pred,BioDeg_LogHalfLife_pred,ReadyBiodeg_pred,LogKM_pred,FUB_pred,Clint_pred
"1,6-Hexanediol diacrylate",DTXSID9025401,2.16835877100131,69.9814721593928,254.203536605446,-2.55411669655989,-2.66975260674089,-6.87456687444742,14.6737758324738,6.67254921251895,2.16835877100131,2.16835877100131,-10.5600091482257,2.52290064110531,34,16,12,4,0,0,0,0,0.5,11,4,0,1,52.6,53.7984,1.069,226.120509056,1.83088712906998,0.665193562286783,1,-0.02387845428897,0.113454119063841,0.414502935189274
17-Methyltestosterone,DTXSID1033664,3.43488897561343,157.664968582422,294.834246064581,-6.71943532206828,-3.92261740986012,-8.31253038586864,19.395707981143,11.429519159773,3.43488206267998,3.43434020427906,-10.39778766011,5.96670245444571,52,22,20,2,0,0,4,0,0.85,0,2,1,0,37.3,88.1159,1.242,302.224580200001,1.54314042909806,2.05596507055887,0,0.837467350780527,0.49822351859845,1.3869934546656
1-Bromopropane,DTXSID6021874,2.12409845173013,-106.928398420024,68.9168969244503,2.0622292131765,-1.7966651832639,-2.6427479208077,0.354550417045921,2.79745130088756,2.12409845173013,2.12409845173013,-11.9093763176168,1.65459770508513,11,4,3,0,0,0,0,0,1,1,0,0,0,0,22.1216,0.363,121.973112324,0.887230900971924,0.887951860115608,0,-0.747640503140831,0.656238956352696,1.12852798703728
1-Butoxy-2-propanol,DTXSID8027589,1.01729011405509,-44.1723346248844,173.748275693985,-0.13520916958497,0.119364374859198,-5.596753890656,5.34885528654412,5.00083403312437,1.01728473293629,1.01686288415587,-10.4263311694701,1.45656527564543,25,9,7,2,0,0,0,0,1,5,2,1,0,29.46,34.6266,0.528,132.115029752,0.663019245848057,0.667700561307547,1,-1.11833149070788,0.477306486623618,0.800861997529644
1-Chloro-2-nitrobenzene,DTXSID0020280,2.29052370141378,45.3088914384801,244.602036454448,-1.48291164903087,-2.92807075114416,-5.02886066823768,8.31920474374603,4.31183144624425,2.29052370141378,2.29052370141378,-11.9835594421514,2.82495824142513,14,10,6,2,1,6,1,0,0,1,0,0,0,43.14,9.5056,0.857,156.993056048,1.34605064741165,0.7281155281182,0,-0.418482144142125,0.373047959300792,1.02309623457095
1-Ethoxy-2-propanol,DTXSID1041267,0.274596599412578,-36.2908152877635,139.508670502787,0.5553473134391,1.00623805847614,-6.09125367296603,1.33741601015878,4.30303658260226,0.274588387005734,0.273944748022423,-10.6779898374022,1.17020568252515,19,7,5,2,0,0,0,0,1,3,2,1,0,29.46,28.183,0.528,104.083729624,0.727111745334569,0.615354679637759,1,-0.895361403908522,0.88837172809718,-3.87376630882717
1-Heptene,DTXSID2060466,3.9876127341669,-121.626532432049,94.3883619629874,1.75732842860534,-3.75313427943794,-0.62552082908477,8.54294847536797,3.58374519505996,3.9876127341669,3.9876127341669,-10.410835748125,2.07801011740907,21,7,7,0,0,0,0,0,0.714285714285714,4,0,0,0,0,29.2325,0.167,98.109550448,2.41025490194994,0.663453434496482,0,0.066751110731476,0.291145537009953,1.16382012977497
1-Hexene,DTXSID4025402,3.36529424705992,-128.658707078114,65.8541661350233,2.20994137597426,-3.20001305428296,-0.638855629480586,5.38971475374879,2.74889431855801,3.36529424705992,3.36529424705992,-10.4363296982357,2.24556065276542,18,6,6,0,0,0,0,0,0.666666666666667,3,0,0,0,0,26.3209,0.167,84.093900384,1.74333690272752,0.693524491965137,0,-0.249602777711484,0.215992144658225,-2.19128359291639
1-Methoxy-2-propanol,DTXSID8024284,-0.315807332528872,-67.181343441018,125.917301585042,0.935878868533615,1.04683059677926,-6.13367897720514,0,4.08119279295048,-0.315808641571085,-0.31591130115871,-10.7180888155922,1.01923499283249,16,6,4,2,0,0,0,0,1,2,2,1,0,29.46,23.8892,0.528,90.06807956,0.370192346182722,0.663440304904183,1,-1.06754865903225,0.931406748483247,1.13629299941258
1-Methoxy-2-propyl acetate,DTXSID1026796,0.582206292360339,-59.1113205713437,150.320388624588,0.588071934083634,0.051334423877398,-4.74022840563535,1.98696427017566,4.01537921149727,0.582206292360339,0.582206292360339,-10.9220007574485,0.672835103017217,21,9,6,3,0,0,0,0,0.833333333333333,4,3,0,0,35.53,33.0407,0.704,132.078644244,0.447316436340386,0.664142135413556,1,-0.831413809292906,0.87210281214229,1.12250234366603
